fileName,name,duration,intensity1,intensity2,intensity3,intensity4,intensity5,intensity6,intensity7,intensity8,intensity9,intensity10,meanIntensity
file0.TextGrid,1,0.190,36,48,56,60,60,58,77,78,77,76,63.726
file0.TextGrid,2,0.100,76,73,71,70,67,68,73,77,78,78,72.746
file0.TextGrid,3,0.250,78,76,76,77,80,81,76,72,70,72,75.740
file0.TextGrid,4,0.280,72,73,69,68,61,55,53,52,42,38,58.630
file1.TextGrid,1,0.110,31,35,43,49,53,54,68,76,78,77,56.614
file1.TextGrid,2,0.180,77,76,76,75,69,65,68,68,66,60,70.149
file1.TextGrid,3,0.480,60,56,77,77,76,74,73,73,71,55,69.785
file1.TextGrid,4,0.150,55,55,52,52,53,50,51,49,45,42,50.567
file10.TextGrid,1,0.110,25,31,48,57,63,66,71,76,76,71,59.621
file10.TextGrid,2,0.160,71,67,68,67,63,61,75,77,76,77,69.808
file10.TextGrid,3,0.170,77,75,76,77,77,78,78,77,76,71,76.440
file10.TextGrid,4,0.330,71,60,57,52,75,75,72,65,56,44,63.199
file11.TextGrid,1,0.060,78,79,79,80,81,82,83,82,81,80,80.703
file11.TextGrid,2,0.370,80,71,70,84,83,84,82,82,75,74,78.739
file11.TextGrid,3,0.070,74,76,78,80,81,80,80,79,77,75,78.383
file11.TextGrid,4,0.250,75,71,69,74,75,73,63,61,56,56,67.354
file12.TextGrid,1,0.180,28,39,62,75,69,60,56,49,46,40,54.590
file12.TextGrid,2,0.120,40,39,51,65,75,77,77,76,75,73,65.828
file12.TextGrid,3,0.230,73,76,76,76,76,77,76,74,71,73,75.102
file12.TextGrid,4,0.320,73,76,77,75,73,70,58,55,45,46,65.354
file13.TextGrid,1,0.220,21,60,74,77,75,68,75,74,66,59,68.070
file13.TextGrid,2,0.190,59,61,80,85,86,83,81,80,75,70,77.210
file13.TextGrid,3,0.120,70,69,69,71,77,80,80,80,79,76,75.418
file13.TextGrid,4,0.380,76,73,77,80,80,74,66,59,55,50,69.690
file14.TextGrid,1,0.110,73,75,77,76,72,65,57,50,42,31,63.047
file14.TextGrid,2,0.300,31,50,40,10,1,48,76,77,76,72,47.266
file14.TextGrid,3,0.360,72,70,71,69,66,61,65,65,64,66,66.667
file14.TextGrid,4,0.130,66,68,68,66,65,64,60,53,47,41,60.372
file15.TextGrid,1,0.150,22,40,58,56,66,76,77,78,77,76,64.261
file15.TextGrid,2,0.090,76,73,71,72,74,76,77,76,74,72,73.997
file15.TextGrid,3,0.130,72,71,71,70,69,70,72,71,67,60,69.730
file15.TextGrid,4,0.240,60,58,57,70,75,75,76,75,73,66,68.763
file16.TextGrid,1,0.200,31,53,75,81,84,82,75,66,60,57,68.628
file16.TextGrid,2,0.290,57,70,82,73,63,72,75,72,72,72,71.135
file16.TextGrid,3,0.160,72,78,81,83,84,81,76,75,71,70,77.765
file16.TextGrid,4,0.300,70,67,66,75,77,72,60,51,49,33,63.138
file17.TextGrid,1,0.200,33,58,79,83,81,78,76,75,73,74,73.420
file17.TextGrid,2,0.130,74,77,78,78,77,76,76,75,75,70,75.946
file17.TextGrid,3,0.230,70,64,61,72,80,77,79,78,80,76,73.548
file17.TextGrid,4,0.210,76,72,73,73,71,68,59,58,54,46,65.437
file18.TextGrid,1,0.110,29,31,44,54,61,62,68,74,76,78,58.149
file18.TextGrid,2,0.120,78,79,79,79,79,79,79,79,79,77,78.657
file18.TextGrid,3,0.180,77,73,68,76,80,80,79,79,76,73,76.316
file18.TextGrid,4,0.360,73,71,70,68,59,51,52,45,45,34,57.171
file19.TextGrid,1,0.090,27,34,51,61,70,76,79,79,77,73,64.175
file19.TextGrid,2,0.120,73,70,71,76,79,80,79,78,77,77,76.067
file19.TextGrid,3,0.210,77,72,76,79,79,76,71,72,71,72,74.503
file19.TextGrid,4,0.350,72,76,75,75,70,65,60,50,45,46,63.635
file2.TextGrid,1,0.100,24,37,54,60,59,68,75,77,76,73,61.728
file2.TextGrid,2,0.110,73,73,74,74,75,75,75,75,74,71,74.290
file2.TextGrid,3,0.150,71,67,66,68,76,79,80,80,79,78,74.344
file2.TextGrid,4,0.400,78,76,74,70,70,66,57,49,46,46,63.347
file20.TextGrid,1,0.280,32,51,61,66,65,55,76,74,65,63,62.762
file20.TextGrid,2,0.150,63,64,71,75,76,78,78,72,68,66,71.915
file20.TextGrid,3,0.290,66,63,62,59,62,68,64,62,63,65,63.284
file20.TextGrid,4,0.120,65,68,68,70,71,67,65,63,62,61,66.159
file21.TextGrid,1,0.230,39,66,78,74,65,61,56,49,48,47,59.840
file21.TextGrid,2,0.120,47,48,58,63,64,75,79,78,76,74,66.689
file21.TextGrid,3,0.270,74,73,79,81,81,76,67,60,55,51,70.257
file21.TextGrid,4,0.160,51,53,63,72,71,67,63,57,50,47,60.441
file22.TextGrid,1,0.230,39,66,78,74,65,61,56,49,48,47,59.840
file22.TextGrid,2,0.120,47,48,58,63,64,75,79,78,76,74,66.689
file22.TextGrid,3,0.270,74,73,79,81,81,76,67,60,55,51,70.257
file22.TextGrid,4,0.160,51,53,63,72,71,67,63,57,50,47,60.441
file23.TextGrid,1,0.220,29,65,69,75,76,79,74,70,70,69,69.886
file23.TextGrid,2,0.080,69,69,68,69,70,72,75,77,77,75,71.986
file23.TextGrid,3,0.190,75,76,75,76,75,74,76,76,74,73,74.918
file23.TextGrid,4,0.410,73,73,77,78,78,65,57,48,44,30,63.745
file24.TextGrid,1,0.100,38,54,66,72,76,78,78,80,81,82,71.550
file24.TextGrid,2,0.290,82,80,80,82,81,80,76,74,74,78,78.559
file24.TextGrid,3,0.210,78,80,80,79,79,79,79,73,78,76,78.257
file24.TextGrid,4,0.220,76,74,73,71,66,62,59,51,45,43,62.393
file25.TextGrid,1,0.210,18,28,54,62,68,71,74,76,75,70,61.508
file25.TextGrid,2,0.180,70,56,43,30,49,57,69,73,74,69,57.923
file25.TextGrid,3,0.370,69,68,67,68,66,56,57,63,64,67,64.141
file25.TextGrid,4,0.170,67,68,68,67,66,63,51,42,31,19,55.683
file26.TextGrid,1,0.150,51,69,70,73,73,74,75,76,75,70,71.960
file26.TextGrid,2,0.100,70,71,75,77,77,77,76,76,73,69,74.597
file26.TextGrid,3,0.160,69,65,63,65,75,79,79,79,78,77,72.975
file26.TextGrid,4,0.410,77,73,73,72,69,64,54,53,48,43,62.899
file27.TextGrid,1,0.160,27,49,72,81,82,79,74,72,73,77,70.372
file27.TextGrid,2,0.180,77,77,78,79,81,82,81,80,79,74,79.125
file27.TextGrid,3,0.240,74,69,69,68,70,74,66,63,64,64,67.793
file27.TextGrid,4,0.210,64,71,74,74,74,70,66,59,56,52,66.886
file28.TextGrid,1,0.190,22,52,71,74,75,72,64,64,63,62,64.332
file28.TextGrid,2,0.130,62,62,59,61,66,65,66,68,73,75,65.377
file28.TextGrid,3,0.310,75,77,78,75,77,80,80,78,74,76,77.008
file28.TextGrid,4,0.360,76,76,71,66,59,53,50,44,44,37,58.067
file29.TextGrid,1,0.160,21,30,51,53,57,72,76,77,77,69,60.018
file29.TextGrid,2,0.430,69,29,60,83,82,82,81,83,78,61,71.123
file29.TextGrid,3,0.230,61,60,66,77,79,80,80,76,64,60,71.292
file29.TextGrid,4,0.340,60,56,57,56,54,62,67,66,51,26,57.105
file3.TextGrid,1,0.060,49,56,63,67,69,69,71,72,73,74,66.988
file3.TextGrid,2,0.060,74,75,75,75,75,75,73,70,67,65,72.840
file3.TextGrid,3,0.250,65,63,63,76,74,63,61,53,67,71,65.130
file3.TextGrid,4,0.300,71,68,77,77,77,73,64,58,51,48,67.677
file30.TextGrid,1,0.080,74,76,77,76,77,78,78,78,77,76,76.915
file30.TextGrid,2,0.100,76,76,77,76,76,75,76,75,73,68,75.135
file30.TextGrid,3,0.150,68,61,58,57,57,57,62,73,74,69,62.989
file30.TextGrid,4,0.150,69,65,64,60,55,55,62,63,59,52,60.211
file31.TextGrid,1,0.100,23,34,44,57,65,69,71,72,71,68,58.714
file31.TextGrid,2,0.330,68,58,63,76,75,76,71,73,74,67,70.531
file31.TextGrid,3,0.080,67,61,61,65,68,69,68,68,66,64,65.761
file31.TextGrid,4,0.080,64,63,62,60,58,56,54,52,50,47,56.811
file32.TextGrid,1,0.250,27,60,68,79,82,81,80,80,72,68,72.290
file32.TextGrid,2,0.090,68,68,69,69,69,69,69,69,68,65,68.429
file32.TextGrid,3,0.220,65,69,76,70,64,60,56,56,56,65,62.999
file32.TextGrid,4,0.290,65,77,78,77,76,69,62,57,49,46,66.959
file33.TextGrid,1,0.190,35,66,79,83,85,78,70,63,60,57,70.160
file33.TextGrid,2,0.290,57,73,82,70,64,60,60,57,76,71,67.163
file33.TextGrid,3,0.200,71,66,68,65,76,81,75,66,61,60,69.122
file33.TextGrid,4,0.300,60,56,54,50,72,72,63,51,46,38,57.278
file34.TextGrid,1,0.140,37,42,51,53,51,70,83,85,84,80,63.971
file34.TextGrid,2,0.270,80,85,82,70,72,67,82,81,81,81,78.259
file34.TextGrid,3,0.330,81,80,78,69,72,81,81,81,82,73,78.117
file34.TextGrid,4,0.290,73,63,61,58,54,54,49,41,37,33,52.225
file35.TextGrid,1,0.150,30,41,63,70,72,71,69,69,69,69,64.021
file35.TextGrid,2,0.110,69,71,72,72,72,72,72,71,71,73,71.449
