id	class	1	2	3	4
0.TextGrid	2	3	6	0	0
1.TextGrid	2	2	5	0	0
2.TextGrid	2	2	5	0	0
3.TextGrid	2	2	5	0	0
4.TextGrid	2	4	7	0	0
5.TextGrid	2	3	6	0	0
6.TextGrid	2	3	6	0	0
7.TextGrid	2	3	6	0	0
8.TextGrid	2	2	5	0	0
9.TextGrid	2	3	6	0	0
10.TextGrid	2	2	5	0	0
11.TextGrid	2	2	5	0	0
12.TextGrid	2	2	5	0	0
13.TextGrid	2	3	6	0	0
14.TextGrid	2	2	5	0	0
15.TextGrid	2	3	6	0	0
16.TextGrid	2	2	4	0	0
17.TextGrid	2	2	4	0	0
18.TextGrid	2	3	6	0	0
19.TextGrid	2	2	5	0	0
20.TextGrid	2	8	13	0	0
21.TextGrid	2	3	6	0	0
22.TextGrid	2	3	6	0	0
23.TextGrid	2	3	6	0	0
24.TextGrid	2	3	6	0	0
25.TextGrid	2	3	6	0	0
26.TextGrid	2	3	6	0	0
27.TextGrid	2	2	5	0	0
28.TextGrid	2	2	5	0	0
29.TextGrid	2	2	5	0	0
30.TextGrid	2	2	6	0	0
31.TextGrid	2	2	5	0	0
32.TextGrid	2	2	5	0	0
33.TextGrid	2	2	5	0	0
34.TextGrid	2	2	7	0	0
35.TextGrid	2	2	5	0	0
36.TextGrid	2	2	5	0	0
37.TextGrid	2	2	5	0	0
38.TextGrid	2	2	5	0	0
39.TextGrid	2	2	7	0	0
40.TextGrid	2	2	5	0	0
41.TextGrid	2	2	5	0	0
42.TextGrid	2	2	6	0	0
43.TextGrid	2	2	5	0	0
44.TextGrid	2	2	5	0	0
45.TextGrid	2	2	5	0	0
46.TextGrid	2	2	5	0	0
47.TextGrid	2	2	6	0	0
48.TextGrid	2	2	5	0	0
49.TextGrid	2	2	5	0	0
50.TextGrid	2	2	5	0	0
51.TextGrid	2	2	5	0	0
52.TextGrid	2	2	5	0	0
53.TextGrid	2	2	5	0	0
54.TextGrid	2	2	5	0	0
55.TextGrid	2	2	5	0	0
56.TextGrid	2	2	5	0	0
57.TextGrid	2	2	5	0	0
58.TextGrid	2	2	5	0	0
59.TextGrid	2	5	10	0	0
60.TextGrid	2	2	5	0	0
61.TextGrid	2	3	7	0	0
62.TextGrid	2	3	7	0	0
63.TextGrid	2	2	5	0	0
64.TextGrid	2	3	6	0	0
65.TextGrid	2	4	7	0	0
66.TextGrid	2	3	6	0	0
67.TextGrid	2	2	5	0	0
68.TextGrid	2	3	6	0	0
69.TextGrid	2	2	5	0	0
70.TextGrid	2	3	6	0	0
71.TextGrid	2	3	6	0	0
72.TextGrid	2	3	6	0	0
73.TextGrid	2	2	5	0	0
74.TextGrid	2	6	9	0	0
75.TextGrid	2	2	5	0	0
76.TextGrid	2	3	6	0	0
77.TextGrid	2	2	5	0	0
78.TextGrid	2	2	4	0	0
79.TextGrid	2	2	5	0	0
80.TextGrid	2	2	5	0	0
81.TextGrid	2	3	6	0	0
82.TextGrid	2	3	7	0	0
83.TextGrid	2	3	6	0	0
84.TextGrid	2	3	6	0	0
85.TextGrid	2	2	5	0	0
86.TextGrid	2	3	6	0	0
87.TextGrid	2	3	6	0	0
88.TextGrid	2	3	6	0	0
