data	epochs	precision	recall	fscore
Praat	62	0.763	0.786	0.77
-DUR	34	0.707	0.876	0.78
-DUR,F0	2	0.614	0.846	0.71
-DUR,F4	12	0.811	0.726	0.77
-DUR,F5	63	0.664	0.796	0.72
-DUR,I	35	0.786	0.786	0.79
-F0,DUR	87	0.789	0.801	0.79
-F0	11	0.701	0.851	0.77
-F0,F4	71	0.753	0.866	0.81
-F0,F5	30	0.756	0.801	0.78
-F0,I	0	0.724	0.811	0.77
-F4,DUR	84	0.792	0.851	0.82
-F4,F0	3	0.837	0.766	0.8
-F4	81	0.787	0.846	0.82
-F4,F5	50	0.774	0.816	0.79
-F4,I	4	0.771	0.736	0.75
-F5,DUR	30	0.717	0.831	0.77
-F5,F0	8	0.775	0.806	0.79
-F5,F4	31	0.758	0.841	0.8
-F5	84	0.729	0.856	0.79
-F5,I	7	0.813	0.801	0.81
-I,DUR	42	0.833	0.746	0.79
-I,F0	90	0.751	0.826	0.79
-I,F4	87	0.734	0.851	0.79
-I,F5	89	0.767	0.836	0.8
-I	20	0.796	0.796	0.8
