,text,ipa,syllables,stress,audio_files,audio_urls
187,تأهل,ɪtˈʔah.hal,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تأهَّل.wav,https://upload.wikimedia.org/wikipedia/commons/a/a8/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%A3%D9%87%D9%8E%D9%91%D9%84.wav
430,وظيفة,wɑˈzˤiː.fe,3,2,LL-Q55633582 (ajp)-AmmanM (AdrianAbdulBaha)-وظيفة.wav,https://upload.wikimedia.org/wikipedia/commons/f/f9/LL-Q55633582_%28ajp%29-AmmanM_%28AdrianAbdulBaha%29-%D9%88%D8%B8%D9%8A%D9%81%D8%A9.wav
62,إنكلترا,ʔɪnˈɡel.trˤɑ,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-إنجِلترا.wav,https://upload.wikimedia.org/wikipedia/commons/a/a4/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A5%D9%86%D8%AC%D9%90%D9%84%D8%AA%D8%B1%D8%A7.wav
281,تلاعب,ɪtˈlæː.ʕab,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تلاعَب.wav,https://upload.wikimedia.org/wikipedia/commons/4/43/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D9%84%D8%A7%D8%B9%D9%8E%D8%A8.wav
97,استوى,ɪsˈta.wa,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-استَوى.wav,https://upload.wikimedia.org/wikipedia/commons/1/13/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D8%B3%D8%AA%D9%8E%D9%88%D9%89.wav
337,سيارة,sajˈjɑː.rɑ,3,2,LL-Q55633582 (ajp)-AmmanM (AdrianAbdulBaha)-سيارة.wav,https://upload.wikimedia.org/wikipedia/commons/8/88/LL-Q55633582_%28ajp%29-AmmanM_%28AdrianAbdulBaha%29-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A9.wav
335,سلامة,saˈlæː.me,3,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-سلامة.wav,https://upload.wikimedia.org/wikipedia/commons/4/4e/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%B3%D9%84%D8%A7%D9%85%D8%A9.wav
247,تطور,ɪtˤˈtˤʌw.wʌr,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تطَوَّر.wav,https://upload.wikimedia.org/wikipedia/commons/3/37/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%B7%D9%8E%D9%88%D9%8E%D9%91%D8%B1.wav
136,انجرح,ɪnˈʒa.raħ,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انجَرَح.wav,https://upload.wikimedia.org/wikipedia/commons/0/0f/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D8%AC%D9%8E%D8%B1%D9%8E%D8%AD.wav
42,لو_سمحت,law.saˈmaħt,3,3,LL-Q55633582 (ajp)-MahmoudM (AdrianAbdulBaha)-لو سمحت.wav,https://upload.wikimedia.org/wikipedia/commons/b/be/LL-Q55633582_%28ajp%29-MahmoudM_%28AdrianAbdulBaha%29-%D9%84%D9%88_%D8%B3%D9%85%D8%AD%D8%AA.wav
120,التهب,ɪlˈta.hab,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-التَهَب.wav,https://upload.wikimedia.org/wikipedia/commons/2/2a/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%84%D8%AA%D9%8E%D9%87%D9%8E%D8%A8.wav
358,عبارة,ʕɪˈbɑː.rˤɑ,3,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-عبارة.wav,https://upload.wikimedia.org/wikipedia/commons/e/ef/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%B9%D8%A8%D8%A7%D8%B1%D8%A9.wav
