fileName,name,duration,F1,F2,F3
file0.TextGrid,,0.270,1201,1954,3299
file0.TextGrid,1,0.200,481,2292,2937
file0.TextGrid,2,0.290,741,1620,2877
file0.TextGrid,3,0.570,605,1713,2938
file0.TextGrid,,0.235,944,2191,3188
file1.TextGrid,,0.270,578,1809,2790
file1.TextGrid,1,0.160,454,952,2567
file1.TextGrid,2,0.260,386,1878,2959
file1.TextGrid,3,0.240,1030,1982,3049
file1.TextGrid,,0.385,526,1705,2800
file10.TextGrid,,0.260,991,2200,3256
file10.TextGrid,1,0.240,345,2095,3175
file10.TextGrid,2,0.180,637,1836,2937
file10.TextGrid,3,0.400,640,1513,2756
file10.TextGrid,,0.229,937,2060,3443
file100.TextGrid,,0.230,1073,1959,2961
file100.TextGrid,1,0.370,401,1811,2618
file100.TextGrid,2,0.210,679,1689,2718
file100.TextGrid,3,0.370,839,1561,2578
file100.TextGrid,,0.215,1045,1820,2915
file101.TextGrid,,0.210,1102,2243,3345
file101.TextGrid,1,0.210,671,2099,3066
file101.TextGrid,2,0.460,705,1349,2978
file101.TextGrid,3,0.390,568,1689,3281
file101.TextGrid,,0.210,1041,2031,3280
file102.TextGrid,,0.220,1016,1740,3174
file102.TextGrid,1,0.160,1264,2428,3507
file102.TextGrid,2,0.150,508,1977,2837
file102.TextGrid,3,0.380,315,2033,2734
file102.TextGrid,,0.219,799,1679,3034
file103.TextGrid,,0.270,831,2032,3153
file103.TextGrid,1,0.220,662,2432,3402
file103.TextGrid,2,0.170,367,1737,2905
file103.TextGrid,3,0.280,905,1312,3089
file103.TextGrid,,0.284,847,1810,3098
file104.TextGrid,,0.250,899,2014,3148
file104.TextGrid,1,0.280,534,1671,2879
file104.TextGrid,2,0.080,589,1552,2854
file104.TextGrid,3,0.390,435,1824,3002
file104.TextGrid,,0.139,364,1913,3175
file105.TextGrid,,0.250,968,2013,3274
file105.TextGrid,1,0.220,378,1961,2732
file105.TextGrid,2,0.300,886,1615,2283
file105.TextGrid,3,0.560,1145,2455,3525
file105.TextGrid,,0.065,1264,1956,3318
file106.TextGrid,,0.260,656,1713,2710
file106.TextGrid,1,0.200,507,1416,2828
file106.TextGrid,2,0.130,1001,2208,3187
file106.TextGrid,3,0.260,451,1814,2884
file106.TextGrid,,0.279,615,1704,2445
file107.TextGrid,,0.220,1037,2102,3280
file107.TextGrid,1,0.260,606,2136,2810
file107.TextGrid,2,0.420,582,1843,2711
file107.TextGrid,3,0.460,423,1847,2909
file107.TextGrid,,0.205,1052,2415,4117
file108.TextGrid,,0.110,772,1959,3039
file108.TextGrid,1,0.380,407,1822,2633
file108.TextGrid,2,0.160,482,1446,2730
file108.TextGrid,3,0.280,685,1517,2689
