fileName,name,duration,F1,F2,F3
file0.TextGrid,,0.280,623,1882,2962
file0.TextGrid,1,0.130,619,1634,3140
file0.TextGrid,2,0.390,581,1231,2864
file0.TextGrid,,0.236,748,1695,2869
file1.TextGrid,,0.300,440,1571,2728
file1.TextGrid,1,0.210,940,2444,3374
file1.TextGrid,2,0.450,397,1828,2973
file1.TextGrid,,0.169,479,1412,2764
file10.TextGrid,,0.160,598,1613,2921
file10.TextGrid,1,0.300,677,1578,2843
file10.TextGrid,2,0.340,494,1455,2914
file10.TextGrid,,0.236,518,1779,2864
file100.TextGrid,,0.170,869,2041,3125
file100.TextGrid,1,0.280,1058,2189,2917
file100.TextGrid,2,0.380,446,1605,2910
file100.TextGrid,,0.223,502,1916,3024
file1000.TextGrid,,0.400,1314,2076,4589
file1000.TextGrid,1,0.070,624,1287,2965
file1000.TextGrid,2,0.240,729,1119,2966
file1000.TextGrid,,0.429,1023,1357,3160
file1001.TextGrid,,0.260,605,1599,2994
file1001.TextGrid,1,0.140,1180,2441,3115
file1001.TextGrid,2,0.450,530,1822,3047
file1001.TextGrid,,0.279,671,1734,3122
file1002.TextGrid,,0.090,1204,2181,2934
file1002.TextGrid,1,0.520,717,1709,2918
file1002.TextGrid,2,0.640,540,1720,2865
file1002.TextGrid,,0.145,1139,2035,3120
file1003.TextGrid,,0.310,707,1701,2992
file1003.TextGrid,1,0.130,373,1820,2670
file1003.TextGrid,2,0.470,1200,2397,3143
file1003.TextGrid,,0.219,462,1929,3007
file1004.TextGrid,,0.270,634,1691,2925
file1004.TextGrid,1,0.250,658,1554,3065
file1004.TextGrid,2,0.170,1167,2364,3292
file1004.TextGrid,,0.625,434,1703,2870
file1005.TextGrid,,0.270,810,2280,3309
file1005.TextGrid,1,0.190,438,1172,2829
file1005.TextGrid,2,0.370,1182,2531,3233
file1005.TextGrid,,0.206,849,2135,3046
file1006.TextGrid,,0.190,1313,2328,3507
file1006.TextGrid,1,0.190,810,1761,2828
file1006.TextGrid,2,0.420,832,2199,3072
file1006.TextGrid,,0.168,673,1926,3042
file1007.TextGrid,,0.270,1111,2062,3008
file1007.TextGrid,1,0.280,411,1912,2631
file1007.TextGrid,2,0.430,731,1799,2699
file1007.TextGrid,,0.500,1108,1796,2653
file1008.TextGrid,,0.290,571,1769,2944
file1008.TextGrid,1,0.110,465,1550,2913
file1008.TextGrid,2,0.410,528,1312,2104
file1008.TextGrid,,0.133,530,1721,2595
file1009.TextGrid,,0.330,803,1782,3110
file1009.TextGrid,1,0.310,490,1410,2794
file1009.TextGrid,2,0.150,489,1528,2893
file1009.TextGrid,,0.339,485,1473,2636
file101.TextGrid,,0.250,1172,2121,3299
file101.TextGrid,1,0.200,744,1760,2492
file101.TextGrid,2,0.450,1063,2179,3243
file101.TextGrid,,0.239,1203,2045,3036
file1010.TextGrid,,0.280,994,2222,3446
file1010.TextGrid,1,0.310,748,1570,2562
file1010.TextGrid,2,0.420,362,1574,3170
file1010.TextGrid,,0.299,779,1996,3180
file1011.TextGrid,,0.220,951,1850,3065
file1011.TextGrid,1,0.100,586,1326,2900
file1011.TextGrid,2,0.700,302,1701,2586
file1011.TextGrid,,0.109,742,1637,2786
file1012.TextGrid,,0.330,732,1922,3035
file1012.TextGrid,1,0.230,473,990,2926
file1012.TextGrid,2,0.460,513,1398,2835
file1012.TextGrid,,0.109,598,1869,2984
file1013.TextGrid,,0.280,989,2196,3150
file1013.TextGrid,1,0.120,386,2315,2935
file1013.TextGrid,2,0.190,463,1924,2798
file1013.TextGrid,,0.293,1191,2241,3664
file1014.TextGrid,,0.130,1167,1988,3144
file1014.TextGrid,1,0.160,905,1814,2574
file1014.TextGrid,2,0.510,539,1590,2774
file1014.TextGrid,,0.143,742,1702,2626
file1015.TextGrid,,0.270,472,1518,2828
file1015.TextGrid,1,0.200,523,1563,2882
file1015.TextGrid,2,0.660,464,1710,2824
file1015.TextGrid,,0.185,432,1578,2829
file1016.TextGrid,,0.250,1044,2105,3320
file1016.TextGrid,1,0.120,704,1787,3124
file1016.TextGrid,2,0.310,963,1801,3214
file1016.TextGrid,,0.203,513,1624,3235
file1017.TextGrid,,0.340,999,2258,3208
file1017.TextGrid,1,0.080,694,1252,2792
file1017.TextGrid,2,0.230,361,1380,3050
file1017.TextGrid,,0.403,782,2008,3201
file1018.TextGrid,,0.260,727,1547,3064
file1018.TextGrid,1,0.310,787,1329,2841
file1018.TextGrid,2,0.410,1232,2047,3028
file1018.TextGrid,,0.242,1111,2186,3013
file1019.TextGrid,,0.250,866,1763,2985
file1019.TextGrid,1,0.240,812,1454,2576
file1019.TextGrid,2,0.510,611,1378,2560
file1019.TextGrid,,0.036,702,1759,2581
file102.TextGrid,,0.210,959,2168,3107
file102.TextGrid,1,0.550,1168,2157,3176
file102.TextGrid,2,0.160,433,1913,3144
file102.TextGrid,,0.133,976,2122,3289
file1020.TextGrid,,0.270,990,2027,3130
file1020.TextGrid,1,0.240,835,1293,2981
file1020.TextGrid,2,0.590,810,1975,3134
file1020.TextGrid,,0.215,892,1924,2840
file1021.TextGrid,,0.380,768,1876,2920
file1021.TextGrid,1,0.170,503,1986,2879
file1021.TextGrid,2,0.460,401,1505,2551
file1021.TextGrid,,0.212,753,1733,2678
file1022.TextGrid,,0.270,517,1726,2991
file1022.TextGrid,1,0.170,519,1298,2870
file1022.TextGrid,2,0.510,459,1482,2882
file1022.TextGrid,,0.179,509,1554,2928
file1023.TextGrid,,0.190,1150,2408,4400
file1023.TextGrid,1,0.200,1165,2513,3344
file1023.TextGrid,2,0.790,720,1885,2996
file1023.TextGrid,,0.129,951,2417,4037
file1024.TextGrid,,0.260,1233,2195,3254
file1024.TextGrid,1,0.330,673,1771,2694
file1024.TextGrid,2,0.580,481,2161,2889
file1024.TextGrid,,0.225,892,1774,2949
file1025.TextGrid,,0.190,563,1641,2698
file1025.TextGrid,1,0.240,1423,2480,3393
file1025.TextGrid,2,0.360,537,1000,2704
file1025.TextGrid,,0.339,496,1410,2777
file1026.TextGrid,,0.360,1140,2148,3558
file1026.TextGrid,1,0.310,419,1747,3014
file1026.TextGrid,2,0.300,588,1714,2793
file1026.TextGrid,,0.254,942,2044,3366
file1027.TextGrid,,0.160,986,1611,2915
file1027.TextGrid,1,0.260,661,1341,2987
file1027.TextGrid,2,0.420,687,1420,3209
file1027.TextGrid,,0.213,1282,2137,4387
file1028.TextGrid,,0.280,1045,2161,3431
file1028.TextGrid,1,0.090,337,2395,2954
file1028.TextGrid,2,0.360,931,1920,3015
file1028.TextGrid,,0.238,1017,1914,3104
file1029.TextGrid,,0.180,945,2045,3186
file1029.TextGrid,1,0.080,785,1572,3106
file1029.TextGrid,2,0.580,833,1681,2563
file1029.TextGrid,,0.196,848,1922,2878
file103.TextGrid,,0.240,1229,2025,3262
file103.TextGrid,1,0.230,777,1585,2466
file103.TextGrid,2,0.470,342,2031,2600
file103.TextGrid,,0.096,508,1795,2680
file1030.TextGrid,,0.270,409,1584,2872
file1030.TextGrid,1,0.240,488,1716,2767
file1030.TextGrid,2,0.490,661,1388,2721
file1030.TextGrid,,0.129,578,1370,2725
file1031.TextGrid,,0.230,1222,2200,3263
file1031.TextGrid,1,0.170,545,1432,3202
file1031.TextGrid,2,0.700,363,1242,2835
file1031.TextGrid,,0.029,928,1946,3277
file1032.TextGrid,,0.230,690,1655,2871
file1032.TextGrid,1,0.190,969,1769,3032
file1032.TextGrid,2,0.260,381,1173,2858
file1032.TextGrid,,0.356,636,1735,2893
file1033.TextGrid,,0.200,1409,2344,5047
file1033.TextGrid,1,0.220,664,1907,2708
file1033.TextGrid,2,0.600,506,2121,3085
file1033.TextGrid,,0.119,1462,2160,3234
file1034.TextGrid,,0.160,1616,2335,3299
file1034.TextGrid,1,0.160,1037,2003,2830
file1034.TextGrid,2,0.500,421,1794,2747
file1034.TextGrid,,0.148,380,1923,3016
file1035.TextGrid,,0.240,886,2115,3160
file1035.TextGrid,1,0.360,560,1873,2985
file1035.TextGrid,2,0.390,792,2005,2971
file1035.TextGrid,,0.139,939,1972,3092
file1036.TextGrid,,0.280,882,2000,3200
file1036.TextGrid,1,0.350,462,1587,2650
file1036.TextGrid,2,0.440,387,1872,2578
file1036.TextGrid,,0.239,278,1762,2958
file1037.TextGrid,,0.260,600,1593,2720
file1037.TextGrid,1,0.110,803,1638,2911
file1037.TextGrid,2,0.490,379,1266,2500
file1037.TextGrid,,0.176,574,1599,2831
file1038.TextGrid,,0.130,1144,2147,3425
file1038.TextGrid,1,0.480,1102,2204,2985
file1038.TextGrid,2,0.300,732,1692,2599
file1038.TextGrid,,0.229,908,1814,3025
file1039.TextGrid,,0.150,831,2036,3173
file1039.TextGrid,1,0.210,479,1347,2438
file1039.TextGrid,2,0.270,677,1367,2758
file1039.TextGrid,,0.313,988,1683,3081
file104.TextGrid,,0.270,1135,2048,3248
file104.TextGrid,1,0.210,597,1532,2772
file104.TextGrid,2,0.400,556,1334,3054
file104.TextGrid,,0.156,735,1795,3060
file1040.TextGrid,,0.280,774,1802,2936
file1040.TextGrid,1,0.160,642,1935,2917
file1040.TextGrid,2,0.460,487,1718,2874
file1040.TextGrid,,0.229,577,1472,2910
file1041.TextGrid,,0.120,1448,2336,5337
file1041.TextGrid,1,0.530,666,1800,2756
file1041.TextGrid,2,0.460,1067,2272,3226
file1041.TextGrid,,0.029,1381,3166,3521
file1042.TextGrid,,0.200,1117,1757,2886
file1042.TextGrid,1,0.100,840,1464,2838
file1042.TextGrid,2,0.280,739,1790,3015
file1042.TextGrid,,0.303,1236,2101,3172
file1043.TextGrid,,0.240,905,2092,3367
file1043.TextGrid,1,0.360,418,1480,2868
file1043.TextGrid,2,0.310,418,1878,2681
file1043.TextGrid,,0.314,902,2062,3603
file1044.TextGrid,,0.200,647,1745,2941
file1044.TextGrid,1,0.300,982,2007,3254
file1044.TextGrid,2,0.300,523,1097,2948
file1044.TextGrid,,0.236,534,1280,2634
file1045.TextGrid,,0.330,519,1604,2816
file1045.TextGrid,1,0.470,724,1831,2912
file1045.TextGrid,2,0.350,471,1615,2499
file1045.TextGrid,,0.257,445,1671,2888
file1046.TextGrid,,0.250,747,1731,2874
file1046.TextGrid,1,0.160,916,1749,2900
file1046.TextGrid,2,0.470,647,1465,2983
file1046.TextGrid,,0.156,867,1781,2889
file1047.TextGrid,,0.100,686,1726,2847
file1047.TextGrid,1,0.270,916,1612,2804
file1047.TextGrid,2,0.290,695,1617,2898
file1047.TextGrid,,0.223,592,1582,2747
file1048.TextGrid,,0.270,536,1574,2773
file1048.TextGrid,1,0.280,374,1442,2636
file1048.TextGrid,2,0.310,456,1779,2467
file1048.TextGrid,,0.176,384,1617,2339
file1049.TextGrid,,0.200,421,1487,2817
file1049.TextGrid,1,0.240,1095,2118,3268
file1049.TextGrid,2,0.430,449,1714,2698
file1049.TextGrid,,0.166,514,1722,3042
file105.TextGrid,,0.290,424,1543,2573
file105.TextGrid,1,0.280,329,1490,2743
file105.TextGrid,2,0.430,419,1695,2727
file105.TextGrid,,0.222,560,1663,2752
file1050.TextGrid,,0.270,933,2134,3284
file1050.TextGrid,1,0.160,785,1346,2898
file1050.TextGrid,2,0.510,1088,1960,3404
file1050.TextGrid,,0.028,1394,2199,3708
file1051.TextGrid,,0.210,815,1830,2943
file1051.TextGrid,1,0.230,518,1661,2709
file1051.TextGrid,2,0.430,612,1818,2754
file1051.TextGrid,,0.269,755,1862,3013
file1052.TextGrid,,0.170,995,2063,3049
file1052.TextGrid,1,0.330,723,1399,2289
file1052.TextGrid,2,0.370,332,1824,2895
file1052.TextGrid,,0.269,1034,1987,3749
file1053.TextGrid,,0.160,469,1785,2775
file1053.TextGrid,1,0.390,543,1729,2657
file1053.TextGrid,2,0.270,543,1572,2840
file1053.TextGrid,,0.309,674,1750,2912
file1054.TextGrid,,0.240,811,1848,3013
file1054.TextGrid,1,0.200,821,1407,2589
file1054.TextGrid,2,0.490,680,1264,2920
file1054.TextGrid,,0.106,743,1368,2938
file1055.TextGrid,,0.240,1148,2183,3185
file1055.TextGrid,1,0.320,640,1573,2669
file1055.TextGrid,2,0.630,273,1632,2719
file1055.TextGrid,,0.034,258,1792,2305
file1056.TextGrid,,0.230,514,1672,2882
file1056.TextGrid,1,0.210,543,1094,2367
file1056.TextGrid,2,0.530,412,1127,2727
file1056.TextGrid,,0.159,680,1688,3104
file1057.TextGrid,,0.100,815,1826,3158
file1057.TextGrid,1,0.320,772,1629,2798
